,depvar,covar,level,estimate,POR,LL,UL,P,significance,AIC,nobs,ci_method
1,serology.child,degree,NA,-0.050743359,0.95,0.49,1.83,0.878981001,ns,420.096515,702,wald
2,serology.child,degree.cat,"""1-2""",-1.02767283,0.36,0.09,1.54,0.124363316,ns,419.4041048,702,profile
3,serology.child,degree.cat,3+,0.252805957,1.29,0.11,17.3,0.824814348,ns,419.4041048,702,profile
4,serology.child,connected,Connected,-0.868283819,0.42,0.1,1.69,0.222028755,ns,418.7265755,702,wald
5,serology.child,harmonic,NA,-0.134691344,0.87,0.62,1.23,0.4405685,ns,419.5212195,702,wald
6,serology.child,betweenness,NA,0.003068647,1,0.97,1.04,0.855536864,ns,420.0873155,702,wald
7,serology.child,kin.svi.med,NA,0.275564328,1.32,0.62,2.8,0.473034568,ns,419.470272,700,wald
8,serology.child,kin.svi.relmed,NA,-0.031028912,0.97,0.48,1.97,0.931474624,ns,420.1123371,702,wald
9,serology.child,kin.iva.med,NA,0.451739464,1.57,0.76,3.25,0.222916471,ns,418.5475971,702,wald
10,serology.child,kin.occ.inf,1,0.899212923,2.46,0.58,10.34,0.220080243,ns,418.7862212,702,wald
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,0.88,,420.1,,
,,,0.95 (0.49-1.83),,,,,0.12,,419.4,,
,,,0.36 (0.09-1.54),,,,,0.82,,419.4,,
,,,1.29 (0.11-17.3),,,,,0.22,,418.7,,
,,,0.42 (0.1-1.69),,,,,0.44,,419.5,,
,,,0.87 (0.62-1.23),,,,,0.86,,420.1,,
,,,1 (0.97-1.04),,,,,0.47,,419.5,,
,,,1.32 (0.62-2.8),,,,,0.93,,420.1,,
,,,0.97 (0.48-1.97),,,,,0.22,,418.5,,
,,,1.57 (0.76-3.25),,,,,0.22,,418.8,,
,,,2.46 (0.58-10.34),,,,,,,,,