"","Model","Regression","Parameter","Mean","2.5% percentile","Median","97.5% percentile","Mode","SD","WAIC"
"4","infestation1.0","y ~ svi + hai + mobility + connected + mobility * connected","Social vulnerability",0.620396781399091,0.328280927567572,0.620396781399091,0.912512635230609,0.620396781399091,0.149041439605876,364.020625307795
"5","infestation1.0","y ~ svi + hai + mobility + connected + mobility * connected","Host availability",0.480700007349889,0.188555402593491,0.480700007349889,0.772844612106286,0.480700007349889,0.149056108714648,364.020625307795
"2","infestation1.0","y ~ svi + hai + mobility + connected + mobility * connected","Mobility",-1.29035474360959,-2.49156416796776,-1.29035474360959,-0.0891453192514103,-1.29035474360959,0.612873212892258,364.020625307795
"3","infestation1.0","y ~ svi + hai + mobility + connected + mobility * connected","Connected",-0.636375452725244,-1.2525740520459,-0.636375452725244,-0.0201768534045936,-0.636375452725244,0.314392817511519,364.020625307795
"6","infestation1.0","y ~ svi + hai + mobility + connected + mobility * connected","mobility:connected",1.63579861037512,0.253425779753373,1.63579861037512,3.01817144099687,1.63579861037512,0.705305220670243,364.020625307795
"7","infestation1.1","y ~ svi + hai + mobility + connected + mobility * connected +     f(spatial.field, model = spde)","Social vulnerability",0.618841162896457,0.293291874643957,0.61810405330661,0.94862693792286,0.618113440119758,0.167031598168491,329.879655931081
"8","infestation1.1","y ~ svi + hai + mobility + connected + mobility * connected +     f(spatial.field, model = spde)","Host availability",0.605321064246263,0.27227059819048,0.6042607452741,0.94447682683561,0.604277138681727,0.171317550457827,329.879655931081
"12","infestation1.1","y ~ svi + hai + mobility + connected + mobility * connected +     f(spatial.field, model = spde)","Mobility",-1.44308922880939,-2.73220054720222,-1.44207036462625,-0.159808332385575,-1.44207478228726,0.655838145118084,329.879655931081
"13","infestation1.1","y ~ svi + hai + mobility + connected + mobility * connected +     f(spatial.field, model = spde)","Connected",-0.475323316137088,-1.15742151824139,-0.474735588487868,0.203375183551701,-0.474749427577129,0.346884969710624,329.879655931081
"10","infestation1.1","y ~ svi + hai + mobility + connected + mobility * connected +     f(spatial.field, model = spde)","mobility:connected",1.63427492787982,0.149662496596957,1.63380980377248,3.12154993029797,1.63381209861672,0.757701332491578,329.879655931081
"14","infestation1.1","y ~ svi + hai + mobility + connected + mobility * connected +     f(spatial.field, model = spde)","Range for spatial field",3468.47620874063,1235.12455676701,3035.35544744769,8292.77768146237,2356.08175343571,1856.74642296643,329.879655931081
"11","infestation1.1","y ~ svi + hai + mobility + connected + mobility * connected +     f(spatial.field, model = spde)","SD for spatial field",1.09805516252471,0.636080419114038,1.0653642710944,1.74826993175898,1.00521451485519,0.28454285670164,329.879655931081
"16","infestation1.2","y ~ svi + hai + mobility + connected + f(spatial.field, model = spde)","Social vulnerability",0.629412647535874,0.305859172999232,0.628677616589097,0.957189136086733,0.628686459681837,0.166013000490866,332.035283248343
"17","infestation1.2","y ~ svi + hai + mobility + connected + f(spatial.field, model = spde)","Host availability",0.580905559176438,0.252672310367853,0.579925986706526,0.914777786476368,0.579940609980588,0.168748926118593,332.035283248343
"18","infestation1.2","y ~ svi + hai + mobility + connected + f(spatial.field, model = spde)","Mobility",-0.301882316290759,-0.99212834121143,-0.300733746977723,0.381800192671742,-0.300736981360061,0.35023690233607,332.035283248343
"19","infestation1.2","y ~ svi + hai + mobility + connected + f(spatial.field, model = spde)","Connected",-0.127247230461087,-0.728045806568092,-0.126811735947234,0.471029133423685,-0.126822851716717,0.305665110822166,332.035283248343
"20","infestation1.2","y ~ svi + hai + mobility + connected + f(spatial.field, model = spde)","Range for spatial field",3401.48701504097,1214.02468266403,2980.81767445995,8103.50785032085,2318.75941549166,1811.49505808832,332.035283248343
"21","infestation1.2","y ~ svi + hai + mobility + connected + f(spatial.field, model = spde)","SD for spatial field",1.09542001632372,0.638336900150719,1.06342913860506,1.73671099713512,1.0045604158744,0.280966492435659,332.035283248343
"210","reinfestation1","y ~ mobility + connected","Mobility",0.502366200491383,-1.23545002347897,0.502366200491383,2.24018242446174,0.502366200491383,0.886657223131665,60.0862647821781
"310","reinfestation1","y ~ mobility + connected","Connected",-2.63706998328582,-4.79541997824843,-2.63706998328582,-0.478719988323207,-2.63706998328582,1.10121921218318,60.0862647821781
"111","iva0","y ~ f(spatial.field, model = spde)","iva0",-0.883007383289327,-2.12412907508085,-0.922202844499235,0.108052601183559,-0.161199632424188,0.641223469003924,222.751602779633
"311","iva0","y ~ f(spatial.field, model = spde)","zero-probability parameter for zero-inflated poisson_1",0.71927409313517,0.397978158256571,0.738479547885092,0.947659289957972,0.806130741473371,0.147820434590576,222.751602779633
"410","iva0","y ~ f(spatial.field, model = spde)","Range for spatial field",337.081586542416,131.019681676351,310.138824856735,699.288115158801,261.405516461445,147.384770297617,222.751602779633
"211","iva0","y ~ f(spatial.field, model = spde)","SD for spatial field",3.15352900972035,1.55947545069158,3.02019590620337,5.50852179373622,2.77823036150627,1.01431153398811,222.751602779633
"510","iva1","y ~ degree","Degree",-0.35895579086729,-0.679122256530078,-0.358277337092963,-0.0426820551665955,-0.358283713342121,0.162231016792912,339.01173945268
"710","iva1","y ~ degree","iva1",0.923117421309713,0.889024491118048,0.924199229164563,0.950962194488163,0.926369006675339,0.0158594995890265,339.01173945268
"91","iva2","y ~ kin.occ.inf","Presence of T. infestans-infested kin household",-0.959929596237135,-1.60385556625817,-0.959340275633525,-0.319380095719686,-0.959344129484662,0.327469915315192,312.700985747013
"101","iva2","y ~ kin.occ.inf","iva2",0.925045186773015,0.892511100766988,0.926019947968724,0.95193440653286,0.92799597776269,0.0152162349439241,312.700985747013
"121","iva3","y ~ kin.iva.med","kin.iva.med",-0.783324696559016,-1.43094829039734,-0.783293855406886,-0.135876781390741,-0.78329372480089,0.330221787477446,313.09889027395
"131","iva3","y ~ kin.iva.med","iva3",0.926277797893858,0.894579495470451,0.927204891444243,0.952601208679003,0.929089682569144,0.0148571133820359,313.09889027395
"113","infection1.0","y ~ age + mom.serology + svi + hai + iva + mover + degree + mover *     degree","Age",0.151198292477632,0.0664484843467154,0.151198292477632,0.235948100608548,0.151198292477632,0.043240492580176,271.174076321347
"212","infection1.0","y ~ age + mom.serology + svi + hai + iva + mover + degree + mover *     degree","Mother's serostatus",1.72165579294337,0.885370805873968,1.72165579294337,2.55794078001277,1.72165579294337,0.42668385422687,271.174076321347
"312","infection1.0","y ~ age + mom.serology + svi + hai + iva + mover + degree + mover *     degree","Social vulnerability",0.170054098892981,-0.228028407693462,0.170054098892981,0.568136605479424,0.170054098892981,0.203107051826701,271.174076321347
"411","infection1.0","y ~ age + mom.serology + svi + hai + iva + mover + degree + mover *     degree","Host availability",-0.620946674331287,-1.16268987285636,-0.620946674331287,-0.0792034758062153,-0.620946674331287,0.276404670084896,271.174076321347
"511","infection1.0","y ~ age + mom.serology + svi + hai + iva + mover + degree + mover *     degree","Infected vector abundance",0.440424931951924,0.191637326109891,0.440424931951924,0.689212537793957,0.440424931951924,0.126934784416672,271.174076321347
"611","infection1.0","y ~ age + mom.serology + svi + hai + iva + mover + degree + mover *     degree","Mobility",-1.65607240959381,-2.98599666224319,-1.65607240959381,-0.326148156944422,-1.65607240959381,0.678545250392179,271.174076321347
"711","infection1.0","y ~ age + mom.serology + svi + hai + iva + mover + degree + mover *     degree","Degree",-0.174047029566529,-0.655252874683778,-0.174047029566529,0.30715881555072,-0.174047029566529,0.245517697729621,271.174076321347
"811","infection1.0","y ~ age + mom.serology + svi + hai + iva + mover + degree + mover *     degree","mover:degree",1.05986821017622,0.399966246619807,1.05986821017622,1.71977017373262,1.05986821017622,0.336690862057482,271.174076321347
"102","infection1.1","y ~ age + mom.serology + svi + hai + iva + mover + degree + mover *     degree + f(spatial.field, model = spde)","Age",0.174193103965461,0.0802985889781842,0.173177627830738,0.273947741525626,0.173199537737685,0.0492833384205508,262.475635103415
"114","infection1.1","y ~ age + mom.serology + svi + hai + iva + mover + degree + mover *     degree + f(spatial.field, model = spde)","Mother's serostatus",1.69492319186612,0.784641771457512,1.69434438435063,2.60890194835313,1.69449493150965,0.464442100413169,262.475635103415
"122","infection1.1","y ~ age + mom.serology + svi + hai + iva + mover + degree + mover *     degree + f(spatial.field, model = spde)","Social vulnerability",0.158612237142418,-0.291331682605625,0.158109110098336,0.61171322552005,0.15820469426173,0.229596692298336,262.475635103415
"132","infection1.1","y ~ age + mom.serology + svi + hai + iva + mover + degree + mover *     degree + f(spatial.field, model = spde)","Host availability",-0.626380795895903,-1.25996509686147,-0.627324105990406,0.0131018413307261,-0.627148978899142,0.323189279120697,262.475635103415
"141","infection1.1","y ~ age + mom.serology + svi + hai + iva + mover + degree + mover *     degree + f(spatial.field, model = spde)","Infected vector abundance",0.420099621293752,0.195858149277414,0.419310451004581,0.648802376215345,0.419301992668626,0.115320112028363,262.475635103415
"151","infection1.1","y ~ age + mom.serology + svi + hai + iva + mover + degree + mover *     degree + f(spatial.field, model = spde)","Mobility",-1.7441118148381,-3.17232173776932,-1.73957039728602,-0.342413183283288,-1.73976848229583,0.720877115224865,262.475635103415
"161","infection1.1","y ~ age + mom.serology + svi + hai + iva + mover + degree + mover *     degree + f(spatial.field, model = spde)","Degree",-0.175679307357221,-0.697326065436195,-0.174866208841196,0.341159867562527,-0.174921407614896,0.264454444246686,262.475635103415
"171","infection1.1","y ~ age + mom.serology + svi + hai + iva + mover + degree + mover *     degree + f(spatial.field, model = spde)","mover:degree",1.05864622756607,0.355017807822841,1.05711038332686,1.77133768626037,1.05720694513,0.360767438900796,262.475635103415
"181","infection1.1","y ~ age + mom.serology + svi + hai + iva + mover + degree + mover *     degree + f(spatial.field, model = spde)","Range for spatial field",307.790195786596,82.7267547330013,254.743136226106,851.650693552093,178.362741198642,206.065360922591,262.475635103415
"191","infection1.1","y ~ age + mom.serology + svi + hai + iva + mover + degree + mover *     degree + f(spatial.field, model = spde)","SD for spatial field",2.05610545322894,0.652895834995901,1.85233115565436,4.62514605398478,1.47296970740826,1.03695489434,262.475635103415
"23","infection1.2","y ~ age + mom.serology + svi + hai + iva + mover + degree + f(spatial.field,     model = spde)","Age",0.158771341718282,0.0682331391288286,0.158077326672479,0.253316576829265,0.158092544313914,0.0471346136308354,266.494810410299
"201","infection1.2","y ~ age + mom.serology + svi + hai + iva + mover + degree + f(spatial.field,     model = spde)","Mother's serostatus",1.62882916338692,0.734677026039481,1.62856680830329,2.52477076791232,1.62866674912416,0.455866898421115,266.494810410299
"213","infection1.2","y ~ age + mom.serology + svi + hai + iva + mover + degree + f(spatial.field,     model = spde)","Social vulnerability",0.155548638820477,-0.294461864230494,0.155110848643902,0.608364471366358,0.155208123100038,0.229628172533316,266.494810410299
"26","infection1.2","y ~ age + mom.serology + svi + hai + iva + mover + degree + f(spatial.field,     model = spde)","Host availability",-0.555001476560588,-1.18510201394434,-0.556889716109224,0.086475576347282,-0.556682746039395,0.323010351347521,266.494810410299
"27","infection1.2","y ~ age + mom.serology + svi + hai + iva + mover + degree + f(spatial.field,     model = spde)","Infected vector abundance",0.430361327157737,0.213137062969803,0.429494214107845,0.652540285026994,0.429499959599262,0.111834606968434,266.494810410299
"24","infection1.2","y ~ age + mom.serology + svi + hai + iva + mover + degree + f(spatial.field,     model = spde)","Mobility",-0.245056054031234,-1.14628606091148,-0.239628930606671,0.625401961790404,-0.239614523658896,0.450987668499758,266.494810410299
"25","infection1.2","y ~ age + mom.serology + svi + hai + iva + mover + degree + f(spatial.field,     model = spde)","Degree",0.298645752938218,-0.056445774414768,0.298165656806102,0.65656374667361,0.298197845538599,0.18157097111517,266.494810410299
"28","infection1.2","y ~ age + mom.serology + svi + hai + iva + mover + degree + f(spatial.field,     model = spde)","Range for spatial field",393.913037665308,86.5062626730656,303.344302007396,1255.52664006659,190.704618809942,323.305457344099,266.494810410299
"29","infection1.2","y ~ age + mom.serology + svi + hai + iva + mover + degree + f(spatial.field,     model = spde)","SD for spatial field",1.90237616379162,0.578922978103112,1.70598687267245,4.34554342709946,1.33713172649322,0.98469353947784,266.494810410299
"36","infection2.0","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     mover * harmonic","Age",0.146520598816419,0.0617644022290872,0.146520598816419,0.23127679540375,0.146520598816419,0.0432437520566079,272.424295874839
"37","infection2.0","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     mover * harmonic","Mother's serostatus",1.59738893385127,0.784138761873391,1.59738893385127,2.41063910582916,1.59738893385127,0.414931181589405,272.424295874839
"38","infection2.0","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     mover * harmonic","Social vulnerability",0.117994886239825,-0.276237562155749,0.117994886239825,0.512227334635398,0.117994886239825,0.201142700327776,272.424295874839
"30","infection2.0","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     mover * harmonic","Host availability",-0.509878380126845,-1.04982410385605,-0.509878380126845,0.0300673436023568,-0.509878380126845,0.27548757425556,272.424295874839
"31","infection2.0","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     mover * harmonic","Infected vector abundance",0.443368265744063,0.214721709239543,0.443368265744063,0.672014822248582,0.443368265744063,0.116658550008089,272.424295874839
"32","infection2.0","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     mover * harmonic","Mobility",-1.59689256909145,-2.91970414617646,-1.59689256909145,-0.274080992006454,-1.59689256909145,0.674916267604492,272.424295874839
"33","infection2.0","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     mover * harmonic","Harmonic",-0.196490095654934,-0.430626411900731,-0.196490095654934,0.0376462205908627,-0.196490095654934,0.119459499303372,272.424295874839
"34","infection2.0","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     mover * harmonic","mover:harmonic",0.616456447883544,0.235681717460073,0.616456447883544,0.997231178307014,0.616456447883544,0.194276391518912,272.424295874839
"40","infection2.1","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     mover * harmonic + f(spatial.field, model = spde)","Age",0.172195694239707,0.0772035128559006,0.17109300496049,0.273553075936036,0.171117246045421,0.0499678237426941,262.579411797082
"41","infection2.1","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     mover * harmonic + f(spatial.field, model = spde)","Mother's serostatus",1.57768613835676,0.675053032540268,1.57664965761122,2.48672919688063,1.5768311965375,0.461072262795445,262.579411797082
"42","infection2.1","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     mover * harmonic + f(spatial.field, model = spde)","Social vulnerability",0.121690294285309,-0.332748249672362,0.120642022030469,0.582313358000391,0.12070543959483,0.232559305964377,262.579411797082
"48","infection2.1","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     mover * harmonic + f(spatial.field, model = spde)","Host availability",-0.491841056614588,-1.13255622613906,-0.494796045110484,0.166603551820781,-0.494496438415159,0.329674491767587,262.579411797082
"45","infection2.1","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     mover * harmonic + f(spatial.field, model = spde)","Infected vector abundance",0.435889230642289,0.211911031531426,0.434994489621377,0.665047041115251,0.435038757774782,0.115438514430501,262.579411797082
"46","infection2.1","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     mover * harmonic + f(spatial.field, model = spde)","Mobility",-1.66448916957661,-3.06367551097747,-1.65981559093065,-0.292809266938973,-1.66010654423639,0.705827128921951,262.579411797082
"47","infection2.1","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     mover * harmonic + f(spatial.field, model = spde)","Harmonic",-0.223654707450016,-0.490909020221627,-0.22193013820964,0.0334410156312832,-0.222041666423887,0.133383958081618,262.579411797082
"43","infection2.1","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     mover * harmonic + f(spatial.field, model = spde)","mover:harmonic",0.623474340571517,0.216604039351727,0.621627477311968,1.04130124768705,0.621771079860645,0.209961635877781,262.579411797082
"49","infection2.1","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     mover * harmonic + f(spatial.field, model = spde)","Range for spatial field",304.912044118193,89.5253427831033,259.504420635941,790.900327622052,190.080586134014,186.066286170928,262.579411797082
"44","infection2.1","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     mover * harmonic + f(spatial.field, model = spde)","SD for spatial field",2.19704189302755,0.770279623512976,2.00197198923841,4.74634623596105,1.64348325988158,1.03446622261461,262.579411797082
"50","infection2.2","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     f(spatial.field, model = spde)","Age",0.155264357944504,0.064394179856115,0.154575218317425,0.250103039126422,0.154587313740805,0.0472983994868982,267.218902965233
"51","infection2.2","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     f(spatial.field, model = spde)","Mother's serostatus",1.57002013134294,0.681550644682846,1.56953259159331,2.46155836171681,1.5696305692775,0.453283139466914,267.218902965233
"52","infection2.2","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     f(spatial.field, model = spde)","Social vulnerability",0.158190252575229,-0.291849243549884,0.157498004023073,0.612462802198301,0.157589512378052,0.229980623507156,267.218902965233
"56","infection2.2","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     f(spatial.field, model = spde)","Host availability",-0.448593456422725,-1.07693095067505,-0.451764792404044,0.198488669116629,-0.451530514072049,0.324049329978006,267.218902965233
"53","infection2.2","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     f(spatial.field, model = spde)","Infected vector abundance",0.402844590982553,0.195853289103005,0.40220942127238,0.613412072936606,0.402199297135802,0.106349972536316,267.218902965233
"54","infection2.2","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     f(spatial.field, model = spde)","Mobility",-0.229233552722576,-1.11987220087679,-0.224780895335604,0.636070034559332,-0.224794182088908,0.446916632897532,267.218902965233
"55","infection2.2","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     f(spatial.field, model = spde)","Harmonic",0.00823013593294304,-0.182121209878983,0.00818555380183593,0.198862941259859,0.00819515321855373,0.0970151935514681,267.218902965233
"58","infection2.2","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     f(spatial.field, model = spde)","Range for spatial field",348.514084854408,86.5785233526338,282.479855768894,1008.70458764093,190.735220782272,249.104644653462,267.218902965233
"59","infection2.2","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     f(spatial.field, model = spde)","SD for spatial field",2.03969090409191,0.684874254570735,1.84583360621718,4.51060722199985,1.49067500974107,0.997214780944726,267.218902965233
"62","infection3.0","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     iva * harmonic","Age",0.13932828798321,0.0536448962460104,0.13932828798321,0.22501167972041,0.13932828798321,0.0437168194992661,262.576124897035
"63","infection3.0","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     iva * harmonic","Mother's serostatus",1.58998976188659,0.766552737154311,1.58998976188659,2.41342678661886,1.58998976188659,0.420128650948407,262.576124897035
"64","infection3.0","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     iva * harmonic","Social vulnerability",0.170708567565167,-0.255851487231022,0.170708567565167,0.597268622361355,0.170708567565167,0.217636680143533,262.576124897035
"65","infection3.0","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     iva * harmonic","Host availability",-0.747656156327084,-1.3097385162624,-0.747656156327084,-0.185573796391766,-0.747656156327084,0.286781983938967,262.576124897035
"66","infection3.0","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     iva * harmonic","Infected vector abundance",1.36522268288358,0.79278414000898,1.36522268288358,1.93766122575818,1.36522268288358,0.29206584783696,262.576124897035
"67","infection3.0","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     iva * harmonic","Mobility",-0.0771886391820741,-0.869757770861393,-0.0771886391820741,0.715380492497245,-0.0771886391820741,0.404379436525877,262.576124897035
"68","infection3.0","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     iva * harmonic","Harmonic",0.171715469366693,-0.0171461795626859,0.171715469366693,0.360577118296071,0.171715469366693,0.0963597547807487,262.576124897035
"60","infection3.0","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     iva * harmonic","iva:harmonic",-0.26656182148816,-0.398120239429985,-0.26656182148816,-0.135003403546335,-0.26656182148816,0.0671228752056371,262.576124897035
"70","infection3.1","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     iva * harmonic + f(spatial.field, model = spde)","Age",0.156669446302628,0.0648432259885363,0.156160521043118,0.251422883093381,0.156167487692491,0.0475299229806391,257.17992202123
"71","infection3.1","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     iva * harmonic + f(spatial.field, model = spde)","Mother's serostatus",1.4630016022912,0.552497658826158,1.46642444332663,2.35407166969558,1.46644419209078,0.458961479717638,257.17992202123
"72","infection3.1","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     iva * harmonic + f(spatial.field, model = spde)","Social vulnerability",0.138264617896467,-0.32593815388953,0.138748770906208,0.599787546016863,0.138777121341728,0.235727008253643,257.17992202123
"78","infection3.1","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     iva * harmonic + f(spatial.field, model = spde)","Host availability",-0.780144285030024,-1.42737968384508,-0.77931760941927,-0.137384031782196,-0.779239800106405,0.32792833458559,257.17992202123
"75","infection3.1","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     iva * harmonic + f(spatial.field, model = spde)","Infected vector abundance",1.46118296896505,0.811006805401282,1.45158580773466,2.16873807397831,1.4524063345903,0.344387035190748,257.17992202123
"76","infection3.1","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     iva * harmonic + f(spatial.field, model = spde)","Mobility",-0.183834103753495,-1.07497852291039,-0.180072282371367,0.68585474344463,-0.180081947493443,0.44831052061496,257.17992202123
"77","infection3.1","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     iva * harmonic + f(spatial.field, model = spde)","Harmonic",0.172096590197014,-0.0284194086556992,0.171821181130968,0.374257025959213,0.171846186955009,0.102554602934576,257.17992202123
"79","infection3.1","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     iva * harmonic + f(spatial.field, model = spde)","iva:harmonic",-0.287143386352793,-0.444791521246386,-0.285509244886448,-0.139180027755517,-0.285625821222695,0.0776090395756049,257.17992202123
"73","infection3.1","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     iva * harmonic + f(spatial.field, model = spde)","Range for spatial field",588.707561071898,58.9501821574612,389.700624042035,2325.37135214117,158.829810467588,662.761155601476,257.17992202123
"74","infection3.1","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     iva * harmonic + f(spatial.field, model = spde)","SD for spatial field",1.52167374378165,0.459802824750925,1.32618377447294,3.73276413060331,1.00232951754888,0.861815380807971,257.17992202123
"84","infection3.2","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     f(spatial.field, model = spde)","Age",0.155264248553354,0.0643941340596729,0.154575120618981,0.250102797509346,0.154587215288074,0.0472983502859013,267.218949720572
"85","infection3.2","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     f(spatial.field, model = spde)","Mother's serostatus",1.57001699330218,0.681547501266022,1.56952950812938,2.46155490872016,1.56962748173195,0.453283068328999,267.218949720572
"86","infection3.2","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     f(spatial.field, model = spde)","Social vulnerability",0.158188808325991,-0.291850712565778,0.157496593530467,0.612461179419413,0.157588098304465,0.229980583698128,267.218949720572
"87","infection3.2","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     f(spatial.field, model = spde)","Host availability",-0.448593405286934,-1.07693092812008,-0.451764721906411,0.19848863173304,-0.451530447860743,0.324049322232447,267.218949720572
"80","infection3.2","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     f(spatial.field, model = spde)","Infected vector abundance",0.402843727851303,0.195852945231334,0.402208532838028,0.613410839209435,0.402198409740683,0.106349740839083,267.218949720572
"81","infection3.2","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     f(spatial.field, model = spde)","Mobility",-0.229235152637773,-1.11987372588724,-0.224782519356335,0.636068520971353,-0.22479579852293,0.446916650755809,267.218949720572
"82","infection3.2","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     f(spatial.field, model = spde)","Harmonic",0.00822984916100099,-0.182121423244866,0.0081852709225172,0.198862558055432,0.0081948699640304,0.0970151520904351,267.218949720572
"88","infection3.2","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     f(spatial.field, model = spde)","Range for spatial field",348.496820486565,86.5828302202204,282.479377854784,1008.55757484807,190.747112495132,249.058674930019,267.218949720572
"89","infection3.2","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     f(spatial.field, model = spde)","SD for spatial field",2.03966758317236,0.684959969327467,1.84583857283584,4.51032268341278,1.49074011245021,0.997113894073266,267.218949720572
